,flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
2907,2883,PG0454,2017-07-24 10:05:00+03,2017-07-24 10:40:00+03,DME,URS,Arrived,SU9,2017-07-24 10:09:00+03,2017-07-24 10:44:00+03
2908,2884,PG0454,2017-08-01 10:05:00+03,2017-08-01 10:40:00+03,DME,URS,Arrived,SU9,2017-08-01 10:08:00+03,2017-08-01 10:43:00+03
2909,2885,PG0454,2017-09-13 10:05:00+03,2017-09-13 10:40:00+03,DME,URS,Scheduled,SU9,\N,\N
2910,2886,PG0383,2017-08-10 14:50:00+03,2017-08-10 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-10 14:54:00+03,2017-08-10 15:24:00+03
2911,2887,PG0382,2017-09-06 15:20:00+03,2017-09-06 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2912,2888,PG0384,2017-08-08 12:10:00+03,2017-08-08 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-08 12:12:00+03,2017-08-08 12:42:00+03
2913,2889,PG0382,2017-08-19 15:20:00+03,2017-08-19 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2914,2890,PG0382,2017-08-20 15:20:00+03,2017-08-20 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2915,2891,PG0383,2017-08-20 14:50:00+03,2017-08-20 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2916,2892,PG0384,2017-08-20 12:10:00+03,2017-08-20 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2917,2893,PG0382,2017-08-26 15:20:00+03,2017-08-26 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2918,2894,PG0383,2017-08-26 14:50:00+03,2017-08-26 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2919,2895,PG0382,2017-07-27 15:20:00+03,2017-07-27 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-27 15:24:00+03,2017-07-27 15:54:00+03
2920,2896,PG0383,2017-07-27 14:50:00+03,2017-07-27 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-27 14:52:00+03,2017-07-27 15:22:00+03
2921,2897,PG0384,2017-07-27 12:10:00+03,2017-07-27 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-27 12:14:00+03,2017-07-27 12:44:00+03
2922,2898,PG0382,2017-08-15 15:20:00+03,2017-08-15 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-15 15:22:00+03,2017-08-15 15:52:00+03
2923,2899,PG0384,2017-08-26 12:10:00+03,2017-08-26 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2924,2900,PG0382,2017-09-13 15:20:00+03,2017-09-13 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2925,2901,PG0382,2017-07-17 15:20:00+03,2017-07-17 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-17 15:25:00+03,2017-07-17 15:55:00+03
2926,2902,PG0382,2017-09-12 15:20:00+03,2017-09-12 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2927,2903,PG0383,2017-08-15 14:50:00+03,2017-08-15 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-15 14:57:00+03,2017-08-15 15:27:00+03
2928,2904,PG0383,2017-09-13 14:50:00+03,2017-09-13 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2929,2905,PG0383,2017-07-17 14:50:00+03,2017-07-17 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-17 18:09:00+03,2017-07-17 18:39:00+03
2930,2906,PG0383,2017-09-12 14:50:00+03,2017-09-12 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2931,2907,PG0382,2017-08-27 15:20:00+03,2017-08-27 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2932,2908,PG0384,2017-09-12 12:10:00+03,2017-09-12 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2933,2909,PG0384,2017-08-15 12:10:00+03,2017-08-15 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-15 12:11:00+03,2017-08-15 12:42:00+03
2934,2910,PG0382,2017-09-08 15:20:00+03,2017-09-08 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2935,2911,PG0384,2017-07-17 12:10:00+03,2017-07-17 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-17 12:12:00+03,2017-07-17 12:41:00+03
2936,2912,PG0384,2017-08-23 12:10:00+03,2017-08-23 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2937,2913,PG0382,2017-08-29 15:20:00+03,2017-08-29 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2938,2914,PG0383,2017-08-29 14:50:00+03,2017-08-29 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2939,2915,PG0384,2017-08-24 12:10:00+03,2017-08-24 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2940,2916,PG0383,2017-08-24 14:50:00+03,2017-08-24 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2941,2917,PG0384,2017-08-29 12:10:00+03,2017-08-29 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2942,2918,PG0384,2017-07-19 12:10:00+03,2017-07-19 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-19 12:11:00+03,2017-07-19 12:40:00+03
2943,2919,PG0383,2017-07-19 14:50:00+03,2017-07-19 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-19 14:53:00+03,2017-07-19 15:24:00+03
2944,2920,PG0382,2017-07-19 15:20:00+03,2017-07-19 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-19 15:23:00+03,2017-07-19 15:53:00+03
2945,2921,PG0382,2017-08-24 15:20:00+03,2017-08-24 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2946,2922,PG0384,2017-09-10 12:10:00+03,2017-09-10 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2947,2923,PG0383,2017-09-10 14:50:00+03,2017-09-10 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2948,2924,PG0384,2017-07-26 12:10:00+03,2017-07-26 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-26 12:15:00+03,2017-07-26 12:45:00+03
2949,2925,PG0383,2017-08-23 14:50:00+03,2017-08-23 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2950,2926,PG0384,2017-07-16 12:10:00+03,2017-07-16 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-16 12:13:00+03,2017-07-16 12:43:00+03
2951,2927,PG0382,2017-09-10 15:20:00+03,2017-09-10 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2952,2928,PG0383,2017-08-27 14:50:00+03,2017-08-27 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2953,2929,PG0384,2017-08-27 12:10:00+03,2017-08-27 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2954,2930,PG0384,2017-09-07 12:10:00+03,2017-09-07 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2955,2931,PG0382,2017-08-18 15:20:00+03,2017-08-18 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2956,2932,PG0383,2017-08-18 14:50:00+03,2017-08-18 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2957,2933,PG0384,2017-08-18 12:10:00+03,2017-08-18 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2958,2934,PG0384,2017-08-10 12:10:00+03,2017-08-10 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-10 12:14:00+03,2017-08-10 12:45:00+03
2959,2935,PG0382,2017-08-10 15:20:00+03,2017-08-10 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-10 15:25:00+03,2017-08-10 15:55:00+03
2960,2936,PG0383,2017-07-16 14:50:00+03,2017-07-16 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-16 14:53:00+03,2017-07-16 15:23:00+03
2961,2937,PG0383,2017-09-07 14:50:00+03,2017-09-07 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2962,2938,PG0383,2017-07-26 14:50:00+03,2017-07-26 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-26 14:53:00+03,2017-07-26 15:24:00+03
2963,2939,PG0382,2017-09-07 15:20:00+03,2017-09-07 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2964,2940,PG0384,2017-08-21 12:10:00+03,2017-08-21 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2965,2941,PG0383,2017-08-21 14:50:00+03,2017-08-21 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2966,2942,PG0382,2017-07-16 15:20:00+03,2017-07-16 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-16 15:22:00+03,2017-07-16 15:52:00+03
2967,2943,PG0382,2017-07-29 15:20:00+03,2017-07-29 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-29 15:20:00+03,2017-07-29 15:50:00+03
2968,2944,PG0384,2017-09-01 12:10:00+03,2017-09-01 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2969,2945,PG0384,2017-09-13 12:10:00+03,2017-09-13 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2970,2946,PG0383,2017-09-01 14:50:00+03,2017-09-01 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2971,2947,PG0382,2017-08-21 15:20:00+03,2017-08-21 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2972,2948,PG0384,2017-08-13 12:10:00+03,2017-08-13 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-13 12:13:00+03,2017-08-13 12:43:00+03
2973,2949,PG0383,2017-08-19 14:50:00+03,2017-08-19 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2974,2950,PG0382,2017-09-01 15:20:00+03,2017-09-01 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2975,2951,PG0383,2017-07-29 14:50:00+03,2017-07-29 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-29 14:52:00+03,2017-07-29 15:22:00+03
2976,2952,PG0384,2017-07-29 12:10:00+03,2017-07-29 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-29 12:15:00+03,2017-07-29 12:45:00+03
2977,2953,PG0383,2017-08-25 14:50:00+03,2017-08-25 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2978,2954,PG0382,2017-08-23 15:20:00+03,2017-08-23 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2979,2955,PG0382,2017-07-21 15:20:00+03,2017-07-21 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-21 15:24:00+03,2017-07-21 15:54:00+03
2980,2956,PG0383,2017-07-21 14:50:00+03,2017-07-21 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-21 14:53:00+03,2017-07-21 15:23:00+03
2981,2957,PG0384,2017-07-21 12:10:00+03,2017-07-21 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-21 12:12:00+03,2017-07-21 12:42:00+03
2982,2958,PG0382,2017-08-11 15:20:00+03,2017-08-11 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-11 15:24:00+03,2017-08-11 15:54:00+03
2983,2959,PG0383,2017-08-11 14:50:00+03,2017-08-11 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-11 14:52:00+03,2017-08-11 15:22:00+03
2984,2960,PG0384,2017-08-11 12:10:00+03,2017-08-11 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-11 12:14:00+03,2017-08-11 12:44:00+03
2985,2961,PG0384,2017-07-25 12:10:00+03,2017-07-25 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-25 12:12:00+03,2017-07-25 12:43:00+03
2986,2962,PG0383,2017-07-25 14:50:00+03,2017-07-25 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-25 14:54:00+03,2017-07-25 15:24:00+03
2987,2963,PG0382,2017-07-25 15:20:00+03,2017-07-25 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-25 15:24:00+03,2017-07-25 15:54:00+03
2988,2964,PG0384,2017-09-04 12:10:00+03,2017-09-04 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2989,2965,PG0383,2017-09-04 14:50:00+03,2017-09-04 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
2990,2966,PG0382,2017-09-04 15:20:00+03,2017-09-04 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2991,2967,PG0382,2017-08-28 15:20:00+03,2017-08-28 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
2992,2968,PG0384,2017-07-18 12:10:00+03,2017-07-18 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-18 12:14:00+03,2017-07-18 12:44:00+03
2993,2969,PG0384,2017-09-03 12:10:00+03,2017-09-03 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
2994,2970,PG0384,2017-09-14 12:10:00+03,2017-09-14 12:40:00+03,DME,BZK,Cancelled,SU9,\N,\N
2995,2971,PG0384,2017-07-20 12:10:00+03,2017-07-20 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-20 12:11:00+03,2017-07-20 12:42:00+03
2996,2972,PG0383,2017-07-20 14:50:00+03,2017-07-20 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-20 14:56:00+03,2017-07-20 15:26:00+03
2997,2973,PG0382,2017-07-20 15:20:00+03,2017-07-20 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-20 15:22:00+03,2017-07-20 15:52:00+03
2998,2974,PG0383,2017-07-18 14:50:00+03,2017-07-18 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-18 14:55:00+03,2017-07-18 15:25:00+03
2999,2975,PG0382,2017-08-05 15:20:00+03,2017-08-05 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-05 15:25:00+03,2017-08-05 15:55:00+03
3000,2976,PG0383,2017-08-05 14:50:00+03,2017-08-05 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-05 14:58:00+03,2017-08-05 15:27:00+03
3001,2977,PG0384,2017-08-05 12:10:00+03,2017-08-05 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-05 12:12:00+03,2017-08-05 12:42:00+03
3002,2978,PG0383,2017-09-03 14:50:00+03,2017-09-03 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3003,2979,PG0382,2017-09-03 15:20:00+03,2017-09-03 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3004,2980,PG0382,2017-07-18 15:20:00+03,2017-07-18 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-18 15:21:00+03,2017-07-18 15:51:00+03
3005,2981,PG0382,2017-08-22 15:20:00+03,2017-08-22 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3006,2982,PG0383,2017-08-22 14:50:00+03,2017-08-22 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3007,2983,PG0382,2017-08-07 15:20:00+03,2017-08-07 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-07 15:22:00+03,2017-08-07 15:52:00+03
3008,2984,PG0383,2017-08-07 14:50:00+03,2017-08-07 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-07 14:59:00+03,2017-08-07 15:29:00+03
3009,2985,PG0384,2017-08-22 12:10:00+03,2017-08-22 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3010,2986,PG0383,2017-09-14 14:50:00+03,2017-09-14 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3011,2987,PG0384,2017-08-07 12:10:00+03,2017-08-07 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-07 12:11:00+03,2017-08-07 12:41:00+03
3012,2988,PG0382,2017-09-14 15:20:00+03,2017-09-14 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3013,2989,PG0384,2017-07-22 12:10:00+03,2017-07-22 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-22 16:14:00+03,2017-07-22 16:44:00+03
3014,2990,PG0383,2017-07-22 14:50:00+03,2017-07-22 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-22 14:52:00+03,2017-07-22 15:22:00+03
3015,2991,PG0383,2017-08-28 14:50:00+03,2017-08-28 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3016,2992,PG0382,2017-07-22 15:20:00+03,2017-07-22 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-22 15:25:00+03,2017-07-22 15:55:00+03
3017,2993,PG0384,2017-08-28 12:10:00+03,2017-08-28 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3018,2994,PG0383,2017-09-08 14:50:00+03,2017-09-08 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3019,2995,PG0384,2017-08-12 12:10:00+03,2017-08-12 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-12 12:11:00+03,2017-08-12 12:40:00+03
3020,2996,PG0384,2017-07-31 12:10:00+03,2017-07-31 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-31 12:12:00+03,2017-07-31 12:41:00+03
3021,2997,PG0383,2017-07-31 14:50:00+03,2017-07-31 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-31 14:51:00+03,2017-07-31 15:21:00+03
3022,2998,PG0382,2017-09-09 15:20:00+03,2017-09-09 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3023,2999,PG0382,2017-07-31 15:20:00+03,2017-07-31 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-31 15:24:00+03,2017-07-31 15:54:00+03
3024,3000,PG0384,2017-08-19 12:10:00+03,2017-08-19 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3025,3001,PG0384,2017-08-06 12:10:00+03,2017-08-06 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-06 12:10:00+03,2017-08-06 12:40:00+03
3026,3002,PG0382,2017-07-23 15:20:00+03,2017-07-23 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-23 15:25:00+03,2017-07-23 15:55:00+03
3027,3003,PG0383,2017-07-23 14:50:00+03,2017-07-23 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-23 14:53:00+03,2017-07-23 15:23:00+03
3028,3004,PG0384,2017-07-23 12:10:00+03,2017-07-23 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-23 12:15:00+03,2017-07-23 12:45:00+03
3029,3005,PG0383,2017-08-06 14:50:00+03,2017-08-06 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-06 14:53:00+03,2017-08-06 15:23:00+03
3030,3006,PG0382,2017-08-06 15:20:00+03,2017-08-06 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-06 15:25:00+03,2017-08-06 15:54:00+03
3031,3007,PG0382,2017-08-17 15:20:00+03,2017-08-17 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3032,3008,PG0383,2017-08-17 14:50:00+03,2017-08-17 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3033,3009,PG0384,2017-08-17 12:10:00+03,2017-08-17 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3034,3010,PG0384,2017-08-03 12:10:00+03,2017-08-03 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-03 12:14:00+03,2017-08-03 12:44:00+03
3035,3011,PG0383,2017-08-03 14:50:00+03,2017-08-03 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-03 14:50:00+03,2017-08-03 15:20:00+03
3036,3012,PG0382,2017-08-03 15:20:00+03,2017-08-03 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-03 15:23:00+03,2017-08-03 15:53:00+03
3037,3013,PG0383,2017-08-13 14:50:00+03,2017-08-13 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-13 14:54:00+03,2017-08-13 15:24:00+03
3038,3014,PG0382,2017-08-30 15:20:00+03,2017-08-30 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3039,3015,PG0382,2017-08-25 15:20:00+03,2017-08-25 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3040,3016,PG0383,2017-09-09 14:50:00+03,2017-09-09 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3041,3017,PG0382,2017-09-05 15:20:00+03,2017-09-05 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3042,3018,PG0383,2017-09-05 14:50:00+03,2017-09-05 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3043,3019,PG0384,2017-08-25 12:10:00+03,2017-08-25 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3044,3020,PG0384,2017-09-05 12:10:00+03,2017-09-05 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3045,3021,PG0384,2017-07-24 12:10:00+03,2017-07-24 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-24 12:14:00+03,2017-07-24 12:44:00+03
3046,3022,PG0383,2017-07-24 14:50:00+03,2017-07-24 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-24 14:53:00+03,2017-07-24 15:23:00+03
3047,3023,PG0383,2017-08-30 14:50:00+03,2017-08-30 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3048,3024,PG0384,2017-08-30 12:10:00+03,2017-08-30 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3049,3025,PG0384,2017-08-16 12:10:00+03,2017-08-16 12:40:00+03,DME,BZK,On Time,SU9,\N,\N
3050,3026,PG0383,2017-08-16 14:50:00+03,2017-08-16 15:20:00+03,DME,BZK,On Time,SU9,\N,\N
3051,3027,PG0382,2017-08-16 15:20:00+03,2017-08-16 15:50:00+03,DME,BZK,Delayed,SU9,\N,\N
3052,3028,PG0382,2017-07-28 15:20:00+03,2017-07-28 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-28 15:22:00+03,2017-07-28 15:53:00+03
3053,3029,PG0383,2017-07-28 14:50:00+03,2017-07-28 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-28 14:52:00+03,2017-07-28 15:23:00+03
3054,3030,PG0382,2017-07-26 15:20:00+03,2017-07-26 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-26 15:25:00+03,2017-07-26 15:55:00+03
3055,3031,PG0384,2017-07-28 12:10:00+03,2017-07-28 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-28 12:13:00+03,2017-07-28 12:43:00+03
3056,3032,PG0384,2017-08-09 12:10:00+03,2017-08-09 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-09 12:17:00+03,2017-08-09 12:47:00+03
3057,3033,PG0382,2017-07-24 15:20:00+03,2017-07-24 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-24 15:23:00+03,2017-07-24 15:53:00+03
3058,3034,PG0382,2017-08-02 15:20:00+03,2017-08-02 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-02 15:21:00+03,2017-08-02 15:51:00+03
3059,3035,PG0383,2017-08-09 14:50:00+03,2017-08-09 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-09 14:52:00+03,2017-08-09 15:22:00+03
3060,3036,PG0383,2017-08-02 14:50:00+03,2017-08-02 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-02 14:53:00+03,2017-08-02 15:23:00+03
3061,3037,PG0384,2017-08-02 12:10:00+03,2017-08-02 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-02 12:13:00+03,2017-08-02 12:43:00+03
3062,3038,PG0382,2017-08-09 15:20:00+03,2017-08-09 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-09 15:24:00+03,2017-08-09 15:54:00+03
3063,3039,PG0383,2017-08-12 14:50:00+03,2017-08-12 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-12 14:54:00+03,2017-08-12 15:24:00+03
3064,3040,PG0382,2017-08-31 15:20:00+03,2017-08-31 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3065,3041,PG0382,2017-08-13 15:20:00+03,2017-08-13 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-13 15:20:00+03,2017-08-13 15:50:00+03
3066,3042,PG0383,2017-08-31 14:50:00+03,2017-08-31 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3067,3043,PG0384,2017-09-08 12:10:00+03,2017-09-08 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3068,3044,PG0384,2017-09-09 12:10:00+03,2017-09-09 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3069,3045,PG0382,2017-09-02 15:20:00+03,2017-09-02 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
3070,3046,PG0384,2017-08-31 12:10:00+03,2017-08-31 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3071,3047,PG0383,2017-09-02 14:50:00+03,2017-09-02 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3072,3048,PG0384,2017-09-02 12:10:00+03,2017-09-02 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3073,3049,PG0382,2017-08-01 15:20:00+03,2017-08-01 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-01 15:26:00+03,2017-08-01 15:56:00+03
3074,3050,PG0382,2017-08-08 15:20:00+03,2017-08-08 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-08 15:24:00+03,2017-08-08 15:54:00+03
3075,3051,PG0383,2017-08-01 14:50:00+03,2017-08-01 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-01 14:55:00+03,2017-08-01 15:25:00+03
3076,3052,PG0384,2017-08-04 12:10:00+03,2017-08-04 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-04 12:15:00+03,2017-08-04 12:45:00+03
3077,3053,PG0383,2017-08-04 14:50:00+03,2017-08-04 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-04 14:54:00+03,2017-08-04 15:24:00+03
3078,3054,PG0382,2017-08-04 15:20:00+03,2017-08-04 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-04 15:21:00+03,2017-08-04 15:51:00+03
3079,3055,PG0384,2017-09-11 12:10:00+03,2017-09-11 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3080,3056,PG0384,2017-08-01 12:10:00+03,2017-08-01 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-01 12:13:00+03,2017-08-01 12:43:00+03
3081,3057,PG0382,2017-08-14 15:20:00+03,2017-08-14 15:50:00+03,DME,BZK,Arrived,SU9,2017-08-14 15:22:00+03,2017-08-14 15:52:00+03
3082,3058,PG0384,2017-07-30 12:10:00+03,2017-07-30 12:40:00+03,DME,BZK,Arrived,SU9,2017-07-30 12:15:00+03,2017-07-30 12:45:00+03
3083,3059,PG0383,2017-07-30 14:50:00+03,2017-07-30 15:20:00+03,DME,BZK,Arrived,SU9,2017-07-30 14:55:00+03,2017-07-30 15:26:00+03
3084,3060,PG0383,2017-08-14 14:50:00+03,2017-08-14 15:20:00+03,DME,BZK,Arrived,SU9,2017-08-14 14:54:00+03,2017-08-14 15:24:00+03
3085,3061,PG0384,2017-09-06 12:10:00+03,2017-09-06 12:40:00+03,DME,BZK,Scheduled,SU9,\N,\N
3086,3062,PG0384,2017-08-14 12:10:00+03,2017-08-14 12:40:00+03,DME,BZK,Arrived,SU9,2017-08-14 12:13:00+03,2017-08-14 12:43:00+03
3087,3063,PG0382,2017-07-30 15:20:00+03,2017-07-30 15:50:00+03,DME,BZK,Arrived,SU9,2017-07-30 15:22:00+03,2017-07-30 15:52:00+03
3088,3064,PG0383,2017-09-11 14:50:00+03,2017-09-11 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3089,3065,PG0383,2017-09-06 14:50:00+03,2017-09-06 15:20:00+03,DME,BZK,Scheduled,SU9,\N,\N
3090,3066,PG0382,2017-09-11 15:20:00+03,2017-09-11 15:50:00+03,DME,BZK,Scheduled,SU9,\N,\N
